"Date Printed: Tuesday, June 19, 2018 2:46:17 PM"
Title: AIDS deaths | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | 2007 | 2006 | 2005 | 2004 | 2003 | 2002 | 2001 | 2000 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories
"Footnote(s): AIDS diagnoses and HIV diagnoses data for the year 2016 are preliminary and based on 6 months reporting delay. Therefore, trend data should only be viewed through the year 2015 to allow sufficient time (at least 12 months) for reporting of case information to accurately assess trends. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. Death data based on residence at death. Data adjusted for missing transmission category."
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"AIDS deaths","2000","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","246",6.7,"3,649,040"
"AIDS deaths","2004","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","242",6.5,"3,725,740"
"AIDS deaths","2003","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","239",6.5,"3,701,630"
"AIDS deaths","2006","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","244",6.4,"3,803,743"
"AIDS deaths","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","218",5.6,"3,898,688"
"AIDS deaths","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","204",5.1,"4,019,948"
"AIDS deaths","2001","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","267",7.3,"3,662,760"
"AIDS deaths","2005","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","217",5.8,"3,757,364"
"AIDS deaths","2002","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","247",6.7,"3,676,368"
"AIDS deaths","2007","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","236",6.2,"3,837,215"
"AIDS deaths","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","222",5.7,"3,870,996"
"AIDS deaths","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","188",4.7,"3,980,586"
"AIDS deaths","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","186",4.6,"4,041,717"
"AIDS deaths","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","214",5.3,"4,060,203"
"AIDS deaths","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","184",4.6,"3,998,294"
"AIDS deaths","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","135",3.3,"4,072,525"
"AIDS deaths","2003","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5",1,"519,682"
"AIDS deaths","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10",1.7,"585,291"
"AIDS deaths","2005","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8",1.5,"540,712"
"AIDS deaths","2006","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16",2.9,"548,320"
"AIDS deaths","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13",2.3,"565,800"
"AIDS deaths","2000","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13",2.6,"492,320"
"AIDS deaths","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8",1.3,"593,423"
"AIDS deaths","2001","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11",2.2,"500,128"
"AIDS deaths","2002","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","22",4.3,"510,199"
"AIDS deaths","2004","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11",2.1,"531,838"
"AIDS deaths","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12",2.1,"577,845"
"AIDS deaths","2007","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","14",2.5,"553,609"
"AIDS deaths","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","18",3.2,"559,346"
"AIDS deaths","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13",2.2,"599,475"
"AIDS deaths","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10",1.7,"599,863"
"AIDS deaths","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9",1.5,"600,925"
"AIDS deaths","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","172",3.2,"5,383,867"
"AIDS deaths","2003","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","241",5.3,"4,506,957"
"AIDS deaths","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","159",3,"5,300,157"
"AIDS deaths","2005","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","202",4.2,"4,819,270"
"AIDS deaths","2007","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","192",3.7,"5,124,349"
"AIDS deaths","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","157",2.8,"5,652,523"
"AIDS deaths","2000","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","206",5,"4,157,297"
"AIDS deaths","2001","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","203",4.8,"4,269,156"
"AIDS deaths","2004","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","251",5.4,"4,646,226"
"AIDS deaths","2006","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","218",4.4,"4,992,176"
"AIDS deaths","2002","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","213",4.9,"4,390,388"
"AIDS deaths","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","192",3.7,"5,235,123"
"AIDS deaths","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","178",3.3,"5,316,387"
"AIDS deaths","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","170",3.3,"5,230,576"
"AIDS deaths","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","179",3.3,"5,462,265"
"AIDS deaths","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","173",3.1,"5,558,015"
"AIDS deaths","2014","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","100",4.1,"2,459,139"
"AIDS deaths","2015","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","79",3.2,"2,470,608"
"AIDS deaths","2012","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","73",3,"2,437,396"
"AIDS deaths","2000","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","83",3.8,"2,193,844"
"AIDS deaths","2003","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","89",4,"2,238,799"
"AIDS deaths","2004","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","94",4.2,"2,260,440"
"AIDS deaths","2005","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","100",4.4,"2,285,144"
"AIDS deaths","2001","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","82",3.7,"2,206,650"
"AIDS deaths","2002","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","97",4.4,"2,220,736"
"AIDS deaths","2006","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","93",4,"2,316,835"
"AIDS deaths","2010","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","86",3.6,"2,408,024"
"AIDS deaths","2007","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","110",4.7,"2,337,084"
"AIDS deaths","2008","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","101",4.3,"2,357,363"
"AIDS deaths","2009","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","88",3.7,"2,374,089"
"AIDS deaths","2011","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","93",3.8,"2,425,857"
"AIDS deaths","2013","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","93",3.8,"2,448,381"
"AIDS deaths","2014","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,384",4.3,"32,125,020"
"AIDS deaths","2012","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,307",4.2,"31,439,808"
"AIDS deaths","2003","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,909",6.7,"28,413,343"
"AIDS deaths","2011","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,347",4.3,"31,100,495"
"AIDS deaths","2015","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,395",4.3,"32,433,206"
"AIDS deaths","2005","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,844",6.4,"29,035,385"
"AIDS deaths","2000","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,937",7.1,"27,183,676"
"AIDS deaths","2001","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,993",7.2,"27,639,962"
"AIDS deaths","2002","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,930",6.9,"28,026,577"
"AIDS deaths","2004","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,932",6.7,"28,751,763"
"AIDS deaths","2006","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,699",5.8,"29,255,213"
"AIDS deaths","2007","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,614",5.5,"29,511,575"
"AIDS deaths","2008","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,507",5.1,"29,836,645"
"AIDS deaths","2009","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,414",4.7,"30,167,113"
"AIDS deaths","2010","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,289",4.2,"30,764,903"
"AIDS deaths","2013","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,347",4.2,"31,774,456"
"AIDS deaths","2001","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","132",3.6,"3,618,563"
"AIDS deaths","2014","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","120",2.7,"4,447,066"
"AIDS deaths","2012","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","90",2.1,"4,288,436"
"AIDS deaths","2002","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","137",3.7,"3,680,890"
"AIDS deaths","2003","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","123",3.3,"3,721,690"
