"Date Printed: Thursday, June 21, 2018 9:26:27 AM"
Title: HIV diagnoses | 2016 | 2015 | 2014 | 2013 | 2012 | 2011 | 2010 | 2009 | 2008 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | Male-to-male sexual contact | Injection drug use | Male-to-male sexual contact and injection drug use | Heterosexual contact | Other
"Footnote(s): AIDS diagnoses and HIV diagnoses data for the year 2016 are preliminary and based on 6 months reporting delay. Therefore, trend data should only be viewed through the year 2015 to allow sufficient time (at least 12 months) for reporting of case information to accurately assess trends. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. Death data based on residence at death. Data adjusted for missing transmission category."
NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","417","Data not available","NA"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","40","Data not available","NA"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","18","Data not available","NA"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","206","Data not available","NA"
"HIV diagnoses","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","423","Data not available","NA"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","41","Data not available","NA"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","26","Data not available","NA"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","208","Data not available","NA"
"HIV diagnoses","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","379","Data not available","NA"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","54","Data not available","NA"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","21","Data not available","NA"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","263","Data not available","NA"
"HIV diagnoses","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","471","Data not available","NA"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","27","Data not available","NA"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","14","Data not available","NA"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","160","Data not available","NA"
"HIV diagnoses","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","457","Data not available","NA"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","27","Data not available","NA"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","17","Data not available","NA"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","163","Data not available","NA"
"HIV diagnoses","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","425","Data not available","NA"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","24","Data not available","NA"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","15","Data not available","NA"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","193","Data not available","NA"
"HIV diagnoses","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","419","Data not available","NA"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","29","Data not available","NA"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","12","Data not available","NA"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","171","Data not available","NA"
"HIV diagnoses","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","1","Data not available","NA"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","441","Data not available","NA"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","26","Data not available","NA"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","25","Data not available","NA"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","190","Data not available","NA"
"HIV diagnoses","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","2","Data not available","NA"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","343","Data not available","NA"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","24","Data not available","NA"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","9","Data not available","NA"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","157","Data not available","NA"
"HIV diagnoses","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","24","Data not available","NA"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","3","Data not available","NA"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","0","Data not available","NA"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","8","Data not available","NA"
"HIV diagnoses","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","9","Data not available","NA"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","4","Data not available","NA"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","0","Data not available","NA"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","8","Data not available","NA"
"HIV diagnoses","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact","23","Data not available","NA"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Injection drug use","0","Data not available","NA"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Male-to-male sexual contact and injection drug use","1","Data not available","NA"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Heterosexual contact","14","Data not available","NA"
"HIV diagnoses","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Other","0","Data not available","NA"
